Pick,Total Pick,Player,Position,Team,Projected Points,Projected Avg Points,Points,Avg Points,Games Played,Draft Grade,Letter Grade,Owner ID
7 - 3,87,Mark Andrews,TE,Dirty Tone and  The Boys,142.72,8.4,104.6,6.54,16,67.33,D+,{54A194E0-EC0C-432D-A194-E0EC0C832DAC}
8 - 4,102,Cooper Kupp,WR,the   jadey bunch,164.11,9.65,88.9,5.93,15,66.9,D,{BC7B9B1D-2B32-43B6-B744-17B9B386108B}
8 - 7,105,Ricky Pearsall,WR,Febreze Brothers,163.96,9.64,70.6,7.84,9,66.7,D,{A8781626-DB52-4D55-B816-26DB528D55B6}
4 - 2,44,Garrett Wilson,WR,Crazy Kat,196.7,11.57,81.5,10.19,8,66.64,D,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543}
5 - 13,69,Aaron Jones Sr.,RB,Crazy Kat,190.81,11.22,104.7,8.73,12,66.57,D,{CC5404BB-2B2C-4EBE-A0A4-BDA3D3BCE543}
12 - 11,165,Matt Gay,K,Team Rodriguez,140.08,8.24,85.0,7.08,12,66.32,D,{ACCE4918-2F2A-4714-B49E-576D9C1F4FBB}
8 - 8,106,Chris Godwin Jr.,WR,Peter Pan + the Lost Boys ,151.76,11.67,65.2,8.15,8,66.31,D,{D1128929-4E7D-4D10-9289-294E7DBD10E2}
10 - 4,130,Jake Elliott,K,the   jadey bunch,141.38,8.32,104.0,6.5,16,66.31,D,{BC7B9B1D-2B32-43B6-B744-17B9B386108B}
13 - 14,182,Darren Waller,TE,Michael's Monstrous Team,105.62,6.6,76.7,8.52,9,64.55,D,{7EB13D07-3786-475B-8AE7-B42DB70413CD}
9 - 14,126,Jayden Higgins,WR,Michael's Monstrous Team,133.03,7.83,99.7,6.23,16,64.18,D,{7EB13D07-3786-475B-8AE7-B42DB70413CD}
7 - 9,93,Jerry Jeudy,WR,The Upside Down,186.37,10.96,92.5,5.78,16,64.01,D,{0DCF5E87-3D59-404C-8983-94C6C3FAD89F}
10 - 13,139,Ravens D/ST,D/ST,Chasing Flowers,143.4,8.44,98.0,6.12,16,63.96,D,{BF8C828B-DE26-4592-8C82-8BDE2675929B}
5 - 6,62,Xavier Worthy,WR,Is it Hockey Season?,140.73,11.73,88.9,6.35,14,63.77,D,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA}
3 - 11,39,Alvin Kamara,RB,the   jadey bunch,231.07,13.59,84.2,7.65,11,63.69,D,{BC7B9B1D-2B32-43B6-B744-17B9B386108B}
6 - 9,79,T.J. Hockenson,TE,Is it Hockey Season?,144.35,8.49,87.3,5.82,15,63.54,D,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA}
1 - 10,10,Malik Nabers,WR,Wu-Tangs Killabeez,247.78,14.58,48.1,12.03,4,63.2,D,{8BED9748-9839-4F55-AD97-4898394F5553}
4 - 10,52,Mike Evans,WR,Ertz When I Pee,195.33,11.49,65.4,9.34,7,62.51,D-,{F3D1384A-36F5-4EFA-B444-3241073A1940}
11 - 12,152,Cardinals D/ST,D/ST,Toon Squad,126.75,7.46,91.0,5.69,16,62.46,D-,{BD7AF362-BC31-4D1A-A4CE-6ECF15A3FD16}
12 - 10,164,Giants D/ST,D/ST,Ertz When I Pee,128.55,7.56,83.0,5.19,16,62.33,D-,{F3D1384A-36F5-4EFA-B444-3241073A1940}
8 - 5,103,Evan Engram,TE,Wu-Tangs Killabeez,128.77,7.57,71.8,4.79,15,61.89,D-,{8BED9748-9839-4F55-AD97-4898394F5553}
11 - 10,150,Tyjae Spears,RB,Wu-Tangs Killabeez,103.95,8.0,83.0,6.92,12,61.37,D-,{8BED9748-9839-4F55-AD97-4898394F5553}
7 - 5,89,Keon Coleman,WR,Ertz When I Pee,172.85,10.17,75.5,6.29,12,61.31,D-,{F3D1384A-36F5-4EFA-B444-3241073A1940}
2 - 12,26,Tyreek Hill,WR,Dirty Tone and  The Boys,216.8,12.75,43.0,10.75,4,60.59,D-,{54A194E0-EC0C-432D-A194-E0EC0C832DAC}
12 - 9,163,DeMario Douglas,WR,Is it Hockey Season?,113.2,6.66,76.4,4.78,16,60.49,D-,{5867E53A-DE09-40ED-A71A-B4A9CA80E2EA}
13 - 3,171,Daniel Carlson,K,Dirty Tone and  The Boys,130.47,7.67,82.0,5.12,16,60.46,D-,{54A194E0-EC0C-432D-A194-E0EC0C832DAC}
6 - 10,80,Isiah Pacheco,RB,Ertz When I Pee,192.43,11.32,77.8,5.98,13,60.25,D-,{F3D1384A-36F5-4EFA-B444-3241073A1940}
